il,ilce,AKP,CHP,MHP,HDP,OTHERS,AKPV,CHPV,MHPV,HDPV,OTHERSV,kod
Aksaray,Güzelyurt,0.581,0.1491,0.23399999999999999,0.01,0.0258,3652.0,937.0,1471.0,63.0,163.0,68
Aksaray,Ortaköy,0.6004999999999999,0.0711,0.285,0.0104,0.03320000000000002,10830.0,1283.0,5141.0,188.0,594.0,68
Aksaray,Sarıyahşi,0.5787,0.105,0.2576,0.0083,0.0504,1460.0,265.0,650.0,21.0,127.0,68
Amasya,Amasya,0.4577000000000001,0.2622,0.2292,0.0118,0.0389,95876.0,54928.0,48017.0,2465.0,8172.0,5
Amasya,Göynücek,0.5146999999999999,0.2304,0.196,0.013500000000000002,0.0455,3626.0,1623.0,1381.0,95.0,320.0,5
Amasya,Gümüşhacıköy,0.36200000000000004,0.4624,0.1242,0.0142,0.0373,6096.0,7788.0,2091.0,239.0,628.0,5
Amasya,Hamamözü,0.4717,0.2499,0.2175,0.005600000000000001,0.05529999999999999,1340.0,710.0,618.0,16.0,157.0,5
Amasya,Merzifon,0.3945,0.3567,0.1997,0.0128,0.03610000000000002,18453.0,16686.0,9343.0,599.0,1696.0,5
Amasya,Suluova,0.6135,0.1293,0.1971,0.0094,0.050700000000000016,18035.0,3801.0,5795.0,276.0,1492.0,5
Amasya,Taşova,0.4688000000000001,0.16699999999999998,0.3168,0.0073,0.04,9897.0,3525.0,6689.0,155.0,846.0,5
Antalya,Akseki,0.4853,0.3062,0.14800000000000002,0.0084,0.0537,3712.0,2342.0,1132.0,64.0,410.0,7
Antalya,Aksu,0.4009,0.2295,0.2643,0.0754,0.031500000000000014,15487.0,8866.0,10212.0,2911.0,1208.0,7
Antalya,Alanya,0.4077,0.2205,0.2895,0.0536,0.029700000000000008,62461.0,33780.0,44349.0,8212.0,4539.0,7
Antalya,Demre,0.4208,0.2563,0.2428,0.016399999999999998,0.0666,6808.0,4147.0,3928.0,266.0,1077.0,7
Antalya,Döşemealtı,0.4095,0.29960000000000003,0.1994,0.0581,0.03570000000000001,13111.0,9595.0,6384.0,1860.0,1148.0,7
Antalya,Elmalı,0.4298,0.2779,0.1949,0.0254,0.0914,10817.0,6993.0,4904.0,640.0,2300.0,7
Antalya,Finike,0.3591,0.3245,0.2397,0.0303,0.0575,10295.0,9301.0,6871.0,868.0,1645.0,7
Antalya,Gazipaşa,0.3714,0.3214,0.2461,0.0175,0.0444,11242.0,9727.0,7448.0,531.0,1343.0,7
Antalya,Gündoğmuş,0.4996,0.1915,0.2207,0.0103,0.07890000000000001,2513.0,963.0,1110.0,52.0,396.0,7
Antalya,İbradı,0.4591,0.3753,0.1165,0.004699999999999999,0.0484,887.0,725.0,225.0,9.0,94.0,7
Antalya,Kaş,0.3743,0.3346,0.2149,0.028999999999999998,0.052000000000000005,12770.0,11415.0,7332.0,990.0,1776.0,7
Antalya,Kemer,0.31370000000000003,0.3255,0.2502,0.0866,0.025700000000000004,7085.0,7350.0,5651.0,1956.0,583.0,7
